algo,n,case,trial,time_ns,depth,comps,copies,allocs,seed,note
m,100000,random,0,32241600,14,1769565,3125313,1,123,
m,100000,random,1,12911200,14,1770301,3126235,1,123,
m,100000,random,2,9567500,14,1770896,3126922,1,123,
m,100000,random,3,9587000,14,1772045,3127878,1,123,
m,100000,random,4,9098500,14,1771534,3127647,1,123,
m,100000,random,0,30357600,14,1769565,3125313,1,123,
m,100000,random,1,20296700,14,1770301,3126235,1,123,
m,100000,random,2,10571200,14,1770896,3126922,1,123,
m,100000,random,3,10462600,14,1772045,3127878,1,123,
m,100000,random,4,10836500,14,1771534,3127647,1,123,
m,100000,random,0,25495600,14,1769565,3125313,1,123,
m,100000,random,1,12141100,14,1770301,3126235,1,123,
m,100000,random,2,10097900,14,1770896,3126922,1,123,
m,100000,random,3,10033300,14,1772045,3127878,1,123,
m,100000,random,4,9861800,14,1771534,3127647,1,123,
m,100000,random,0,25067200,14,1769565,3125313,1,123,
m,100000,random,1,11384800,14,1770301,3126235,1,123,
m,100000,random,2,9801200,14,1770896,3126922,1,123,
m,100000,random,3,9893900,14,1772045,3127878,1,123,
m,100000,random,4,9672800,14,1771534,3127647,1,123,
m,100000,random,0,27533600,14,1769565,3125313,1,123,
m,100000,random,1,10881200,14,1770301,3126235,1,123,
m,100000,random,2,9545100,14,1770896,3126922,1,123,
m,100000,random,3,10931900,14,1772045,3127878,1,123,
m,100000,random,4,9763700,14,1771534,3127647,1,123,
m,100000,random,0,28209300,14,1769565,3125313,1,123,
m,100000,random,1,17831300,14,1770301,3126235,1,123,
m,100000,random,2,10458200,14,1770896,3126922,1,123,
m,100000,random,3,10843000,14,1772045,3127878,1,123,
m,100000,random,4,10779400,14,1771534,3127647,1,123,
m,100000,random,0,36186000,14,1769565,3125313,1,123,
m,100000,random,1,12915100,14,1770301,3126235,1,123,
m,100000,random,2,14078800,14,1770896,3126922,1,123,
m,100000,random,3,10516800,14,1772045,3127878,1,123,
m,100000,random,4,12112000,14,1771534,3127647,1,123,
m,100000,random,0,43630700,14,1769565,3125313,1,123,
m,100000,random,1,13068700,14,1770301,3126235,1,123,
m,100000,random,2,11014800,14,1770896,3126922,1,123,
m,100000,random,3,10309500,14,1772045,3127878,1,123,
m,100000,random,4,10779000,14,1771534,3127647,1,123,
m,100000,random,0,42946600,14,1769565,3125313,1,123,
m,100000,random,1,14094700,14,1770301,3126235,1,123,
m,100000,random,2,9717900,14,1770896,3126922,1,123,
m,100000,random,3,9996100,14,1772045,3127878,1,123,
m,100000,random,4,9093500,14,1771534,3127647,1,123,
m,100000,random,0,30587500,14,1769565,3125313,1,123,
m,100000,random,1,11939000,14,1770301,3126235,1,123,
m,100000,random,2,10824800,14,1770896,3126922,1,123,
m,100000,random,3,9143700,14,1772045,3127878,1,123,
m,100000,random,4,8916800,14,1771534,3127647,1,123,
m,100000,random,0,31166200,14,1769565,3125313,1,123,
m,100000,random,1,13907700,14,1770301,3126235,1,123,
m,100000,random,2,11387400,14,1770896,3126922,1,123,
m,100000,random,3,11633500,14,1772045,3127878,1,123,
m,100000,random,4,9119100,14,1771534,3127647,1,123,
m,100000,random,0,29623200,14,1769565,3125313,1,123,
m,100000,random,1,17150700,14,1770301,3126235,1,123,
m,100000,random,2,9426300,14,1770896,3126922,1,123,
m,100000,random,3,11060700,14,1772045,3127878,1,123,
m,100000,random,4,9033600,14,1771534,3127647,1,123,
,,,,,,,,,,
m,100000,random,0,33107000,14,1769565,3125313,1,123,
m,100000,random,1,15727700,14,1770301,3126235,1,123,
m,100000,random,2,13595100,14,1770896,3126922,1,123,
m,100000,random,3,10773500,14,1772045,3127878,1,123,
m,100000,random,4,9371500,14,1771534,3127647,1,123,
m,100000,random,0,33783800,14,1769565,3125313,1,123,
m,100000,random,1,14779300,14,1770301,3126235,1,123,
m,100000,random,2,10480900,14,1770896,3126922,1,123,
m,100000,random,3,11902400,14,1772045,3127878,1,123,
m,100000,random,4,9200900,14,1771534,3127647,1,123,
m,100000,random,0,45156700,14,1769565,3125313,1,123,
m,100000,random,1,11711200,14,1770301,3126235,1,123,
m,100000,random,2,19154600,14,1770896,3126922,1,123,
m,100000,random,3,14396400,14,1772045,3127878,1,123,
m,100000,random,4,14785700,14,1771534,3127647,1,123,
m,100000,random,0,28579900,14,1769565,3125313,1,123,
m,100000,random,1,18364900,14,1770301,3126235,1,123,
m,100000,random,2,10551000,14,1770896,3126922,1,123,
m,100000,random,3,9010500,14,1772045,3127878,1,123,
m,100000,random,4,8396300,14,1771534,3127647,1,123,
