algo,n,case,trial,time_ns,depth,comps,copies,allocs,seed,note
c,5000,random,0,21919000,12,12828,0,1,123,
c,5000,random,1,8281600,12,12810,0,1,123,
c,5000,random,2,8099200,12,12928,0,1,123,
c,10000,random,0,38816200,13,25892,0,1,123,
c,10000,random,1,19512300,13,25974,0,1,123,
c,10000,random,2,75317900,13,25852,0,1,123,
c,20000,random,0,75463700,14,52006,0,1,123,
c,20000,random,1,53447300,14,52080,0,1,123,
c,20000,random,2,80975900,14,52220,0,1,123,
c,50000,random,0,163804200,16,142292,0,1,123,
c,50000,random,1,85241100,16,141760,0,1,123,
c,50000,random,2,122824500,16,142006,0,1,123,
c,100000,random,0,244631200,17,284978,0,1,123,
c,100000,random,1,225275800,17,284606,0,1,123,
c,100000,random,2,182690200,17,285038,0,1,123,
c,100000,random,0,267021900,17,284978,0,1,123,
c,100000,random,1,227882500,17,284606,0,1,123,
c,100000,random,2,150220100,17,285038,0,1,123,
c,200000,random,0,552515000,18,572140,0,1,123,
c,200000,random,1,394789800,18,571514,0,1,123,
c,200000,random,2,274584900,18,571998,0,1,123,
