algo,n,case,trial,time_ns,depth,comps,copies,allocs,seed,note
m,200000,random,0,44182200,15,3739859,6651548,1,123,
m,200000,random,1,22803300,15,3742941,6654800,1,123,
m,200000,random,2,21152400,15,3741636,6653497,1,123,
m,200000,random,3,22233000,15,3740172,6651847,1,123,
m,200000,random,4,21547200,15,3742274,6654156,1,123,
m,200000,random,0,37827900,15,3739859,6651548,1,123,
m,200000,random,1,23407300,15,3742941,6654800,1,123,
m,200000,random,2,20454000,15,3741636,6653497,1,123,
m,200000,random,3,20390300,15,3740172,6651847,1,123,
m,200000,random,4,19235300,15,3742274,6654156,1,123,
m,200000,random,0,45486300,15,3739859,6651548,1,123,
m,200000,random,1,22203600,15,3742941,6654800,1,123,
m,200000,random,2,22851400,15,3741636,6653497,1,123,
m,200000,random,3,21456800,15,3740172,6651847,1,123,
m,200000,random,4,22157400,15,3742274,6654156,1,123,
