algo,n,case,trial,time_ns,depth,comps,copies,allocs,seed,note
q,5000,random,0,4592800,7,103818,42423,0,123,
q,5000,random,1,1233100,7,93775,43368,0,123,
q,5000,random,2,875300,7,95405,43584,0,123,
q,10000,random,0,11670000,8,203883,93552,0,123,
q,10000,random,1,1858200,8,196162,94479,0,123,
q,10000,random,2,2033200,8,194540,94947,0,123,
q,20000,random,0,14677900,9,432072,201717,0,123,
q,20000,random,1,2348000,9,438227,201060,0,123,
q,20000,random,2,1850300,9,433377,200271,0,123,
q,50000,random,0,14679800,10,1185777,548169,0,123,
q,50000,random,1,6370300,10,1138798,554136,0,123,
q,50000,random,2,6628600,10,1108942,556218,0,123,
q,100000,random,0,24308100,11,2385771,1178721,0,123,
q,100000,random,1,18289200,10,2500745,1169295,0,123,
q,100000,random,2,14470600,10,2435439,1171302,0,123,
q,200000,random,0,40174400,11,5076861,2493990,0,123,
q,200000,random,1,26884700,11,5290584,2465802,0,123,
q,200000,random,2,25354800,11,5193252,2471799,0,123,
