algo,n,case,trial,time_ns,depth,comps,copies,allocs,seed,note
s,5000,random,0,11450100,5,48017,91451,0,123,
s,5000,random,1,1433700,5,42670,81504,0,123,
s,5000,random,2,2186200,5,48117,92065,0,123,
s,10000,random,0,5004400,5,97149,186416,0,123,
s,10000,random,1,4028600,5,93703,180562,0,123,
s,10000,random,2,3328000,5,92121,177021,0,123,
s,20000,random,0,9875200,6,194381,375174,0,123,
s,20000,random,1,2074000,6,199168,382002,0,123,
s,20000,random,2,1372600,6,194751,375154,0,123,
s,50000,random,0,16057800,6,493168,945028,0,123,
s,50000,random,1,3153500,6,485010,929978,0,123,
s,50000,random,2,3165800,6,491385,942164,0,123,
s,100000,random,0,23392800,7,997097,1929149,0,123,
s,100000,random,1,6764100,7,1024795,1967696,0,123,
s,100000,random,2,9377000,7,1001942,1928891,0,123,
s,200000,random,0,31839200,7,2038989,3927668,0,123,
s,200000,random,1,16639900,7,2057452,3959131,0,123,
s,200000,random,2,10864100,7,2037533,3931714,0,123,
